"","Isolate","TVClass","WUR","Sex","RIN"
"ENSSSCG00000000002",0.660489480642271,0.777030569924048,0.662801854104962,0.913438442654136,0.513958077464057
"ENSSSCG00000000003",0.440561969540558,0.798626055945728,0.589362458135616,0.886890241227698,0.568882825556765
"ENSSSCG00000000005",0.233168949534031,0.318755479595813,0.720931808974651,0.841870552668828,0.167485440322022
"ENSSSCG00000000006",0.677463720618211,0.582700822803457,0.527197960543576,0.830793804459847,0.591090531961036
"ENSSSCG00000000007",0.57207257375859,0.739468108394498,0.652652087873442,0.844545543615874,0.411631002191219
"ENSSSCG00000000010",0.173808249330534,0.757714110373948,0.713770856521898,0.90711829268535,0.414466081135352
"ENSSSCG00000000014",0.575858193622391,0.609407991984663,0.482703829734177,0.90254060740591,0.513987215071552
"ENSSSCG00000000018",0.206549710913588,0.748692900000166,0.697573909888241,0.807318747656619,0.530965224743599
"ENSSSCG00000000019",0.27006052832644,0.766213748947617,0.740523595983346,0.905928581710126,0.618072614471581
"ENSSSCG00000000022",0.65937848028821,0.564059069754853,0.722518811613686,0.796777765633507,0.256234177813817
"ENSSSCG00000000024",0.416482961362173,0.78108506209484,0.544411931466762,0.897810245950832,0.614885434220328
"ENSSSCG00000000025",0.174881824489887,0.343736437255567,0.452627400875758,0.698990645978951,0.448571018030106
"ENSSSCG00000000031",0.674916686218192,0.707496952990106,0.785555322797096,0.757540643278818,0.558465510857064
"ENSSSCG00000000033",0.473364003360028,0.389139998676378,0.78360228281077,0.729328436736063,0.147808854517483
"ENSSSCG00000000034",0.601648134322698,0.817408425831088,0.600955658702482,0.771165989347994,0.25280779976422
"ENSSSCG00000000035",0.676955465896028,0.696045924854287,0.394701194932932,0.816602189937383,0.507632717249815
"ENSSSCG00000000036",0.245609903484604,0.765665868180883,0.437903069445204,0.733343007218387,0.24873452933907
"ENSSSCG00000000037",0.566037438382277,0.479383751388305,0.5459897822024,0.7687214404265,0.288596233594453
"ENSSSCG00000000038",0.651167177166888,0.749486976184222,0.636378084780464,0.911510671380439,0.132958215188549
"ENSSSCG00000000039",0.66409777608536,0.476973806539541,0.654631993627916,0.800293646066649,0.575489794283531
"ENSSSCG00000000040",0.674036410411874,0.402537301196327,0.729391141001801,0.698990645978951,0.50347750334839
"ENSSSCG00000000045",0.252829413079941,0.791116784303879,0.771942390029838,0.656400904381088,0.47683219838994
"ENSSSCG00000000046",0.687592706992648,0.774312879192268,0.75527083059967,0.84856364490488,0.318114448243451
"ENSSSCG00000000050",0.510648152048741,0.817300825663317,0.686064068976683,0.729328436736063,0.615117715541848
"ENSSSCG00000000058",0.268320081587804,0.339526957430795,0.527142480169057,0.88542702448988,0.175550580240985
"ENSSSCG00000000059",0.181103648015887,0.645846656766449,0.528798635904722,0.665477569312862,0.441429140939706
"ENSSSCG00000000061",0.5520346544819,0.351262149691509,0.757199092679015,0.687106761546877,0.205906251688646
"ENSSSCG00000000063",0.683754170701812,0.681171170287179,0.678946389503608,0.879276953397867,0.536504279660463
"ENSSSCG00000000064",0.660575446107264,0.628066801604014,0.590093989148034,0.885405495547911,0.140451765443307
"ENSSSCG00000000066",0.367086580892935,0.556308375298874,0.73678432655628,0.753043904752329,0.421679476126234
"ENSSSCG00000000068",0.0249731787685754,0.743595398803223,0.508504906654988,0.739840772568827,0.148024551315455
"ENSSSCG00000000071",0.113529161480645,0.776424431095389,0.675416944631427,0.867161747351033,0.336746827383541
"ENSSSCG00000000072",0.165133299872153,0.78108506209484,0.417443593396308,0.899090275584699,0.4895009201462
"ENSSSCG00000000075",0.156699439935843,0.558900414719142,0.672740707567901,0.851694789165638,0.440146532428036
"ENSSSCG00000000076",0.534101766752046,0.487628808004726,0.64934628760832,0.656400904381088,0.362865778805491
"ENSSSCG00000000077",0.658355301429092,0.775604503841833,0.659764555899449,0.850388461077114,0.621276665982149
"ENSSSCG00000000078",0.0269473792705311,0.726215068286379,0.552351852503944,0.843386286057041,0.189047158775722
"ENSSSCG00000000079",0.16719335531853,0.777257580349426,0.316489379350846,0.869670715212964,0.617170106365785
"ENSSSCG00000000080",0.0986287806869627,0.448279276280803,0.508504906654988,0.841870552668828,0.432345908462794
"ENSSSCG00000000083",0.227427682389039,0.481344399490148,0.499353492611929,0.757540643278818,0.0693001869537235
"ENSSSCG00000000084",0.530093799686279,0.443044403977613,0.563634692963214,0.797608907193831,0.134528841449886
"ENSSSCG00000000087",0.580245380208651,0.480602961221191,0.477696326375602,0.911510671380439,0.106312676908977
"ENSSSCG00000000089",0.652315224629407,0.542782890902149,0.715779542932322,0.743689640309712,0.538970131301109
"ENSSSCG00000000090",0.544797128803722,0.528843475588323,0.711048801916649,0.795243075105971,0.380166372782354
"ENSSSCG00000000091",0.371928587072737,0.503889433817512,0.654381626570865,0.661215700935074,0.589260892678391
"ENSSSCG00000000093",0.629963529741135,0.369964828317697,0.572951482813689,0.911843814660188,0.407869217887665
"ENSSSCG00000000094",0.656146871625305,0.777257580349426,0.74767145670966,0.819883729993745,0.507371192740683
